wbcode,wbname,aosnew1,aosnew2,aosnew3,aosnew4,aosnew5,aosnew6,aosnew7,aosnew8,aosnew9,aosnew10,aosnew11,aosnew12,aosnew13,aosnew14,aosnew15,aosnew16,aosnew17,aosnew18,aosnew19,aosnew20,aosnew21,aosnew22,aosnew23,aosnew24,aosnew25,aosnew26,aosnew27,aosnew28,aosnew29,aosnew30,aosnew31,aosnew32,aosnew33,aosnew34,aosnew35,aosnew36,aosnew37,aosnew38,aosnew39,statehist00v3,statehist001v3,statehist01v3,statehist05v3,statehist10v3,statehist50v3,statehistn00v3,statehistn001v3,statehistn01v3,statehistn05v3,statehistn10v3,statehistn50v3
LKA,Sri Lanka,25,25,25,25,25,25,25,28.125,37.5,37.5,37.5,37.5,37.5,37.5,37.5,50,50,50,45.75,37.5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1648.875,1614.258,1341.599,667.8402,357.4891,76.72319,0.8455769,0.8436421,0.8259894,0.747531,0.6661711,0.511488
SDN,Sudan,25,31.5,30.25,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,0,0,0,0,37.5,37.5,37.5,37.5,37.5,37.5,37.5,1286.75,1263.708,1080.777,609.6391,369.461,92.7767,0.6598718,0.6604381,0.6654074,0.682385,0.6884804,0.6185114
SWZ,Swaziland,25,28.125,50,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.125,132.9072,130.979,123.0523,114.4299,74.86111,0.0682692,0.0694599,0.0806405,0.1377357,0.213237,0.4990742
SWE,Sweden,50,50,50,50,50,50,50,50,39.938,28.125,37.5,50,50,50,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730.563,725.3569,681.0019,528.0717,405.2295,148.5219,0.3746477,0.3790855,0.4192759,0.5910845,0.755134,0.990146
CHE,Switzerland,50,50,46.25,50,50,50,50,50,50,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,0,0,25,25,25,25,25,25,25,25,1396.25,1373.957,1195.76,723.4546,470.2271,147.3572,0.7160257,0.7180561,0.7362,0.8097817,0.8762552,0.9823817
SYR,Syrian Arab Republic,25,25,37.5,37.5,37.5,25,25,25,26,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,25,25,28.125,25,25,25,25,50,50,25,25,25,25,25,25,25,25,25,25,25,25,25,1091.625,1071.646,913.2903,509.8352,310.1764,87.00564,0.5598077,0.5600626,0.5622902,0.5706719,0.5780052,0.5800377
OAN,"Taiwan, China",25,50,50,50,50,50,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.75,292.8896,285.3349,255.4654,225.1232,113.4774,0.150641,0.1530698,0.1756736,0.2859491,0.4195109,0.7565159
TJK,Tajikistan,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,34.5,50,50,50,50,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,1009.5,990.9906,843.8104,464.67,275.6453,75.00629,0.5176923,0.5179107,0.5195131,0.5201173,0.5136574,0.500042
THA,Thailand,50,50,50,50,50,50,50,50,50,50,37.5,37.5,37.5,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,28.125,37.5,37.5,37.5,37.5,37.5,37.5,0,0,0,0,0,0,0,0,0,0,0,1090.625,1077.447,969.2927,650.8562,451.1805,149.2076,0.5592949,0.5630944,0.5967694,0.7285204,0.8407624,0.9947176
TGO,Togo,18.75,18.75,18.75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.25,81.11897,79.95966,75.20988,70.0742,46.99074,0.0416667,0.0423943,0.0492292,0.0841844,0.1305813,0.3132716
